City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
213,Vila Franca Do Campo,PT,2022-06-16 04:23:46,37.7167,-25.4333,63.19,86,72,7.76
214,Hambantota,LK,2022-06-16 04:23:47,6.1241,81.1185,82.74,83,75,4.61
215,Faya,SA,2022-06-16 04:23:47,18.3851,42.4509,72.12,18,62,2.98
216,Anton Lizardo,MX,2022-06-16 04:23:48,19.05,-95.9833,80.82,84,74,10.38
217,Porto Novo,BJ,2022-06-16 04:19:36,6.4965,2.6036,75.02,97,99,4.56
218,Elmvale,CA,2022-06-16 04:23:48,44.5834,-79.8664,68.74,94,31,10.36
219,Shenjiamen,CN,2022-06-16 04:23:49,29.9576,122.298,75.04,84,100,10.76
220,Chulman,RU,2022-06-16 04:23:50,56.8479,124.9104,64.72,44,66,5.5
221,Tazovskiy,RU,2022-06-16 04:23:50,67.4667,78.7,59.79,69,99,15.37
222,Kavaratti,IN,2022-06-16 04:23:51,10.5669,72.642,82.94,75,100,15.37
223,Geraldton,AU,2022-06-16 04:23:51,-28.7667,114.6,72.01,68,62,8.05
224,Poum,NC,2022-06-16 04:23:52,-20.2333,164.0167,79.0,77,6,15.41
225,Egvekinot,RU,2022-06-16 04:23:52,66.3167,-179.1667,32.14,99,100,4.07
226,Seydi,TM,2022-06-16 04:24:53,39.4816,62.9137,93.06,16,3,9.08
227,Santa Maria Del Oro,MX,2022-06-16 04:24:53,25.9333,-105.3667,75.42,41,96,2.55
228,Prestea,GH,2022-06-16 04:24:54,5.4327,-2.1428,72.63,99,100,2.21
229,Kloulklubed,PW,2022-06-16 04:24:54,7.0419,134.2556,82.9,72,99,11.03
230,Kenai,US,2022-06-16 04:24:54,60.5544,-151.2583,64.02,70,0,14.97
231,East London,ZA,2022-06-16 04:20:19,-33.0153,27.9116,52.74,54,0,14.97
232,Mehamn,NO,2022-06-16 04:24:55,71.0357,27.8492,39.15,93,75,11.5
233,Okhotsk,RU,2022-06-16 04:24:55,59.3833,143.3,49.3,80,96,7.0
234,Kavieng,PG,2022-06-16 04:24:56,-2.5744,150.7967,84.29,71,76,11.97
235,Bonthe,SL,2022-06-16 04:24:56,7.5264,-12.505,76.15,89,100,7.76
236,Bafoulabe,ML,2022-06-16 04:24:57,13.8065,-10.8321,83.89,56,98,11.48
237,Dukat,RU,2022-06-16 04:24:57,62.55,155.55,56.7,46,83,6.15
238,Zharkent,KZ,2022-06-16 04:24:58,44.1628,80.0,74.62,44,100,4.47
239,Chifeng,CN,2022-06-16 04:24:59,42.2683,118.9636,82.58,27,24,1.19
240,Betsiamites,CA,2022-06-16 04:24:59,48.9413,-68.646,70.2,76,100,5.66
241,Kahului,US,2022-06-16 04:24:59,20.8947,-156.47,82.42,71,40,17.27
